Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2016-152156,2016-11-08,2016-11-11,second class,cg-12520,claire gute,consumer,united states,henderson,kentucky,42420,south,fur-bo-10001798,furniture,furniture,bush somerset collection bookcase,261.96,2,0.0,41.9136
CA-2016-152156,2016-11-08,2016-11-11,second class,cg-12520,claire gute,consumer,united states,henderson,kentucky,42420,south,fur-ch-10000454,furniture,furniture,"hon deluxe fabric upholstered stacking chairs, rounded back",731.94,3,0.0,219.582
CA-2016-138688,2016-06-12,2016-06-16,second class,dv-13045,darrin van huff,corporate,united states,los angeles,california,90036,west,off-la-10000240,office supplies,office supplies,self-adhesive address labels for typewriters by universal,14.62,2,0.0,6.8714
US-2015-108966,2015-10-11,2015-10-18,standard class,so-20335,sean o'donnell,consumer,united states,fort lauderdale,florida,33311,south,fur-ta-10000577,furniture,furniture,bretford cr4500 series slim rectangular table,957.5775,5,0.45,-383.031
US-2015-108966,2015-10-11,2015-10-18,standard class,so-20335,sean o'donnell,consumer,united states,fort lauderdale,florida,33311,south,off-st-10000760,office supplies,office supplies,eldon fold 'n roll cart system,22.368,2,0.2,2.5164
CA-2014-115812,2014-06-09,2014-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,fur-fu-10001487,furniture,furniture,"eldon expressions wood and plastic desk accessories, cherry wood",48.86,7,0.0,14.1694
CA-2014-115812,2014-06-09,2014-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,off-ar-10002833,office supplies,office supplies,newell 322,7.28,4,0.0,1.9656
CA-2014-115812,2014-06-09,2014-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,tec-ph-10002275,technology,technology,mitel 5320 ip phone voip phone,907.152,6,0.2,90.7152
CA-2014-115812,2014-06-09,2014-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,off-bi-10003910,office supplies,office supplies,dxl angle-view binders with locking rings by samsill,18.504,3,0.2,5.7825
CA-2014-115812,2014-06-09,2014-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,off-ap-10002892,office supplies,office supplies,belkin f5c206vtel 6 outlet surge,114.9,5,0.0,34.47
